"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72509014739","2020-05-10T00:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","21","37","0.00",,"-0.04","3","52","29.91","FEW:02 70","29.88","10.00","31","260","24","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12205/10/20 00:54:02 METAR KBOS 100554Z 26016G21KT 10SM FEW070 03/M06 A2991 RMK AO2 SLP127 T00281061 10044 20022 53014 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T01:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21","37",,,"-0.04","3","52","29.91","74","29.89","9.94","31","260",,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08672509 32866 22616 10028 21061 30121 40127 53014 90554 333 10056 20022 91021 555 91006=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T01:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","21","36","0.00",,,,"55","29.92","FEW:02 250","29.89","10.00","31","240",,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10105/10/20 01:54:02 METAR KBOS 100654Z 24011KT 10SM FEW250 02/M06 A2992 RMK AO2 SLP131 T00221061 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T02:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","21","36","0.00",,,,"55","29.92","SCT:04 240","29.90","10.00","31","240",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10105/10/20 02:54:02 METAR KBOS 100754Z 24012KT 10SM SCT240 02/M06 A2993 RMK AO2 SLP133 T00221061 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T03:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","22","34","0.00",,"-0.02","1","61","29.93","FEW:02 250","29.90","10.00","30","220",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10705/10/20 03:54:02 METAR KBOS 100854Z 22010KT 10SM FEW250 01/M06 A2993 RMK AO2 SLP136 T00111056 51008 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T04:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","34",,,"-0.02","1","61","29.93",,"29.91","9.94","30","220",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06472509 32966 22210 10011 21056 30128 40136 51008 90854 555 91009=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T04:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","22","34","0.00",,,,"61","29.94","FEW:02 150 SCT:04 250","29.91","10.00","30","220",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10805/10/20 04:54:02 METAR KBOS 100954Z 22010KT 10SM FEW150 SCT250 01/M06 A2994 RMK AO2 SLP138 T00111056 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T05:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","24","36","0.00",,,,"62","29.95","FEW:02 60 FEW:02 150","29.92","10.00","32","220",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10305/10/20 05:54:02 METAR KBOS 101054Z 22013KT 10SM FEW060 FEW150 02/M04 A2995 RMK AO2 SLP142 T00221044 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T06:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","25","40","0.00",,"-0.02","1","55","29.95","FEW:02 60 FEW:02 150","29.92","10.00","34","230",,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12605/10/20 06:54:02 METAR KBOS 101154Z 23015KT 10SM FEW060 FEW150 04/M04 A2995 RMK AO2 SLP142 T00441039 10044 20011 51007 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T07:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","40",,,"-0.02","1","55","29.95","57","29.93","9.94","34","230",,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072509 32766 22315 10044 21039 30135 40142 51007 91154 333 10067 20011 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
